0.254206 0.117204 0.010370
0.208569 0.174748 -0.041574
0.257107 0.121642 0.014143
0.255689 0.131986 0.023189
0.268395 0.135671 0.024582
0.258081 0.114137 0.016521
0.310029 0.165247 -0.050109
0.266067 0.044768 0.019422
0.263270 0.105438 -0.011029
0.208723 0.115680 0.030098
0.290212 0.144122 -0.002559
0.313538 0.175542 0.024845
0.198035 0.100193 0.003537
0.305921 0.186224 -0.005537
0.224593 0.151105 0.025638
0.231466 0.098644 -0.002591
0.278197 0.118396 0.043155
0.312356 0.089495 0.021551
0.284232 0.111794 0.012494
0.266686 0.131205 0.024459
0.244376 0.107425 0.031571
0.242830 0.057389 0.026620
0.273989 0.151439 -0.078461
0.248515 0.106852 0.011458
0.229280 0.137336 0.008932
0.256773 0.131471 -0.018160
0.249282 0.159211 0.018511
0.245779 0.111985 0.020533
0.278311 0.124264 -0.015678
0.222507 0.107529 0.017441
0.235957 0.068285 0.053360
0.227843 0.152587 0.007573
0.280006 0.124826 0.039788
0.241440 0.184921 -0.049175
0.207447 0.129634 0.049263
0.220185 0.053545 0.001195
0.247909 0.125670 0.016925
0.262856 0.106683 0.018118
0.243872 0.139001 0.012413
0.240404 0.100945 0.002003
0.299081 0.092954 0.048866
0.255022 0.100910 0.007029
0.208682 0.145301 0.004727
0.260789 0.134339 0.011481
0.233793 0.158854 0.023795
0.268534 0.134467 0.016061
0.221515 0.099859 -0.031194
0.223338 0.103629 -0.022899
0.192831 0.163483 0.035595
0.237168 0.128602 -0.006187
0.301850 0.175447 0.076751
0.186393 0.057864 -0.008363
0.235744 0.128132 -0.014294
0.243303 0.095579 0.001352
0.241958 0.158273 0.013950
0.304987 0.115566 -0.073006
0.250608 0.105000 0.029439
0.309461 0.162190 0.020353
0.253247 0.120005 0.013551
0.273470 0.142728 0.007856
0.255096 0.120015 0.010039
0.239471 0.068279 0.093774
0.238768 0.128658 -0.006303
0.301576 0.131786 0.069635
0.293440 0.078849 0.043209
0.257002 0.109603 0.038861
0.235961 0.150769 0.009846
0.251342 0.130173 0.004391
0.250598 0.117004 0.022598
0.315638 0.191432 0.032924
0.259210 0.126776 0.031348
0.275075 0.069183 0.010644
0.230682 0.147759 0.046012
0.222621 0.106070 0.052902
0.242873 0.117054 0.010033
0.270508 0.108195 0.011410
0.266828 0.045307 0.021234
0.255801 0.094878 -0.064337
0.216257 0.110355 0.019049
0.252607 0.128117 0.010207
0.289912 0.043658 0.046627
0.238453 0.109413 0.032303
0.255145 0.126992 0.015027
0.217475 0.131278 -0.042088
0.243576 0.088276 0.027323
0.177559 0.117414 -0.015254
0.288064 0.131034 0.025241
0.324273 0.069329 0.046059
0.296774 0.062614 0.018159
0.255731 0.069201 -0.045372
0.253156 0.071437 0.039981
0.215937 0.157413 0.013957
0.256465 0.119681 0.011587
